Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,TPT Provinsi,TPAK Provinsi
Kalimantan Barat,Bengkayang,2.92,72.93,4.23,67.64
Kalimantan Barat,Landak,2.24,71.13,4.23,67.64
Kalimantan Barat,Mempawah,7.33,68.27,4.23,67.64
Kalimantan Barat,Sanggau,3.86,70.31,4.23,67.64
Kalimantan Barat,Ketapang,6.57,66.48,4.23,67.64
Kalimantan Barat,Sintang,2.92,74.12,4.23,67.64
Kalimantan Barat,Kapuas Hulu,2.19,72.28,4.23,67.64
Kalimantan Barat,Sekadau,2.29,73.77,4.23,67.64
Kalimantan Barat,Melawi,2.46,73.73,4.23,67.64
Kalimantan Barat,Kayong Utara,3.04,72.54,4.23,67.64
Kalimantan Barat,Kubu Raya,6.76,65.28,4.23,67.64
Kalimantan Barat,Kota Pontianak,8.92,63.47,4.23,67.64
Kalimantan Barat,Kota Singkawang,8.51,66.6,4.23,67.64
Kalimantan Tengah,Kota Palangka Raya,5.13,64.51,3.47,69.9
Kalimantan Tengah,Kalimantan Tengah,4.1,67.18,3.47,69.9
Kalimantan Tengah,Kotawaringin Barat,4.45,67.17,3.47,69.9
Kalimantan Tengah,Kotawaringin Timur,4.77,63.03,3.47,69.9
Kalimantan Tengah,Kapuas,3.66,66.58,3.47,69.9
Kalimantan Tengah,Murung Raya,2.75,66.78,3.47,69.9
Kalimantan Tengah,Seruyan,3.61,67.66,3.47,69.9
Kalimantan Tengah,Gunung Mas,3.24,71.06,3.47,69.9
Kalimantan Tengah,Pulang Pisau,2.07,74.92,3.47,69.9
Kalimantan Tengah,Katingan,4.96,64.42,3.47,69.9
Kalimantan Tengah,Lamandau,3.32,69.01,3.47,69.9
Kalimantan Tengah,Sukamara,5.23,72.39,3.47,69.9
Kalimantan Tengah,Barito Utara,4.85,70.27,3.47,69.9
Kalimantan Tengah,Barito Timur,3.37,74.79,3.47,69.9
Kalimantan Tengah,Barito Selatan,4.33,65.62,3.47,69.9
Kalimantan Selatan,Barito Kuala,3.42,71.89,3.94,70.41
Kalimantan Selatan,Banjar,2.73,70.21,3.94,70.41
Kalimantan Selatan,Kota Baru,6.08,64.0,3.94,70.41
Kalimantan Selatan,Tanah Laut,3.58,69.61,3.94,70.41
Kalimantan Selatan,Tapin,3.93,70.17,3.94,70.41
Kalimantan Selatan,Kalimantan Selatan,4.31,69.76,3.94,70.41
