Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja
Sulawesi Tenggara,Konawe Utara,2.76,70.75
Sulawesi Tenggara,Muna,3.27,70.77
Sulawesi Tenggara,Buton,2.48,68.49
Sulawesi Tenggara,Konawe Kepulauan,1.59,74.93
Sulawesi Tenggara,Muna Barat,2.22,76.38
Sulawesi Tenggara,Buton Tengah,2.5,67.65
Sulawesi Tenggara,Kota Kendari,5.18,66.87
Sulawesi Tenggara,Kota Baubau,4.17,70.52
Sulawesi Tenggara,Sulawesi Tenggara,3.15,70.07
Sulawesi Tenggara,Buton Selatan,4.33,72.56
Sulawesi Tenggara,Wakatobi,2.73,73.08
Sulawesi Tenggara,Bombana,1.16,67.75
Sulawesi Tenggara,Konawe Selatan,3.12,69.93
Sulawesi Tenggara,Kolaka,3.36,65.22
Sulawesi Tenggara,Konawe,3.09,67.93
Sulawesi Tenggara,Kolaka Utara,2.24,73.93
Sulawesi Tenggara,Kolaka Timur,2.18,77.08
Gorontalo,Gorontalo,3.06,70.79
Gorontalo,Boalemo,2.86,72.3
Gorontalo,Kota Gorontalo,4.06,65.68
Gorontalo,Gorontalo Utara,2.77,71.13
Gorontalo,Bone Bolango,3.39,68.39
Gorontalo,Pohuwato,3.46,72.96
Gorontalo,Gorontalo,2.48,72.89
Sulawesi Barat,Mamasa,2.35,78.45
Sulawesi Barat,Majene,2.64,64.03
Sulawesi Barat,Polewali Mandar,1.95,73.4
Sulawesi Barat,Mamuju,2.99,68.24
Sulawesi Barat,Pasangkayu,2.02,72.45
Sulawesi Barat,Mamuju Tengah,1.83,66.01
Sulawesi Barat,Sulawesi Barat,2.27,71.05
Maluku,Maluku Tenggara,5.73,61.37
Maluku,Maluku Tengah,6.75,63.26
Maluku,Buru,4.86,73.72
Maluku,Seram Bagian Barat,4.74,62.72
Maluku,Seram Bagian Timur,3.31,56.71
Maluku,Maluku Barat Daya,2.43,67.99
Maluku,Buru Selatan,0.97,68.72
Maluku,Kota Ambon,11.65,65.8
Maluku,Kepulauan Tanimbar,4.31,62.0
Maluku,Kota Tual,8.98,55.48
Maluku,Kepulauan Aru,1.96,59.62
Maluku,Maluku,6.31,63.6
Maluku Utara,Halmahera Tengah,3.95,70.77
Maluku Utara,Maluku Utara,4.31,67.77
