id,companyName,categoriesName
1032730361,"PT Astra International,Tbk�Toyota Sales Operation","Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032857955,PT Audy Mandiri Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032859353,Jasa Foto Jakarta,"Seni/Media/Komunikasi,Seni / Desain Kreatif"
1032730282,PT Mitra Pinasthika Mustika (MPM Rent),"Akuntansi / Keuangan,Keuangan / Investasi Perusahaan "
1032874801,PT Smart Multi Finance,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032857886,PT Valbury Indonesia,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan"
1032875214,PT Indo Megah Abadi,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875164,"PT Kobexindo Tractors, Tbk","Penjualan / Pemasaran,Penjualan - Korporasi"
1032874742,PT Limas Sentosa Antarnusa,"Akuntansi / Keuangan,Audit & Pajak"
1032730292,PT Kafe Batavia Fatahillah,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032679999,CV Dunia Sandang,"Manufaktur,Manufaktur"
1032759958,PT Eximku Teknologi Indonesia,"Pelayanan,Logistik/Rantai Pasokan"
1032856895,PT Catur Mitra Sejati Sentosa,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum"
1032858704,PT Daya Cipta Gemilang,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT"
1032875689,PT Indonesia Oppo Electronics Jakarta,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032859258,PT Granite Services International Indonesia,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan"
1032874713,PT Asiaparts Indotech (Tangerang),"Penjualan / Pemasaran,Penjualan - Korporasi"
1032875176,PT Sasa Inti,"Komputer/Teknologi Informasi,IT-Perangkat Keras"
1032679908,PT Permata Indo Sejahtera,"Penjualan / Pemasaran,Penjualan Ritel"
1032730367,PT Kafe Batavia Fatahillah,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032730344,PT Kafe Batavia Fatahillah,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032874675,PT Hon Chuan Indonesia,"Lainnya,Jurnalis/Editor"
1032723542,PT Data Sains Inteknova,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032657038,PT Buffalo Tours Indonesia,"Pelayanan,Logistik/Rantai Pasokan"
1032679981,PT Permata Indo Sejahtera,"Penjualan / Pemasaran,Penjualan Ritel"
1032680005,PT Inspirasi Prima Nusantara,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032875648,PT Urbanfit Valdixon Indonesia,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan"
1032679931,PT Burlington Indonesia,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum"
1032875248,PT Aeronusa Inti Raya,"Layanan Kesehatan,Praktisi/Asisten Medis"
1032745365,PT Korn Ferry International,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032730291,PT Levi Strauss Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032730299,PT Kafe Batavia Fatahillah,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032875785,PT Surganya Motor Indonesia,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032875702,PT Warna Warni Media,"Pelayanan,Pengacara / Asisten Legal"
1032668647,PT Investree Radhika Jaya,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032874737,PT NexWave,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032875131,PT Daelim Dobidos Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032760044,PT Trans Digital Media,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032875783,Institut Desain & Bisnis Bali,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875050,PT Daelim Dobidos Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032874803,PT Combiphar,"Manufaktur,Manufaktur"
1032875641,PT Cipta Piranti Sejahtera,"Seni/Media/Komunikasi,Seni / Desain Kreatif"
1032874986,PT Saptawarna Cemerlang,"Hotel/Restoran,Hotel/Pariwisata"
1032730421,British School Jakarta,
1032632570,PT Toyota Astra Financial Services,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum"
1032874960,PT Cargill Indonesia,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032875902,Ivory Bridal Jakarta,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032874938,PT Cahaya Mutiara Mandiri,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032875263,PT Jakarta Realty (Thamrin City),"Pelayanan,Perawatan Pribadi"
1032875026,PT Bank Mizuho Indonesia,"Sains,Aktuaria/Statistik"
1032632557,PT Kimia Yasa,"Penjualan / Pemasaran,Penjualan Ritel"
1032875561,PT Kreatifitas Sinergisme Teknoindo,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032874777,PT Puri Jepun Lestari,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan"
1032875295,PT Jala Lintas Media,"Akuntansi / Keuangan,Audit & Pajak"
1032679951,PT Mastersystem Infotama,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032858045,PT 360 TEKNOLOGI INDONESIA,"Pendidikan/Pelatihan,Pelatihan & Pengembangan"
1032875120,PT Daelim Dobidos Indonesia,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032875282,PT Aeronusa Inti Raya,"Akuntansi / Keuangan,Keuangan / Investasi Perusahaan "
1032875095,TULUS WATER,"Penjualan / Pemasaran,Penjualan Ritel"
1032875554,UNOPS Indonesia Operations Centre (IDOC),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875246,KSP Nasari,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875194,KSP Nasari,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan"
1032875850,PT Alpine Cool Utama,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032875366,PT International Molding,"Manufaktur,Pembelian/Manajemen Material"
1032857520,PT 360 TEKNOLOGI INDONESIA,"Teknik,Teknik Elektronika"
1032874773,PT Multi Indocitra Tbk,"Sains,Pertanian"
1032874703,PT Aldmic Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
